ID,NM_DISTRITO,LONG,LAT,ID_ADJS
2040,BABAÇULÂNDIA,-47.7588161270324,-7.20186453206148,[]
2041,BANDEIRANTES DO TOCANTINS,-48.5783806048644,-7.76485914125333,[]
2044,BARRA DO OURO,-47.6871349692244,-7.69176659865687,[]
2046,BARROLÂNDIA,-48.7314605907218,-9.83165336453342,[]
2047,BERNARDO SAYÃO,-48.8990543467276,-7.86851248331281,[]
2052,BOM JESUS DO TOCANTINS,-48.1663804935405,-8.96334801285521,[]
2053,BRASILÂNDIA DO TOCANTINS,-48.485374419124,-8.38488935107799,[]
2055,BREJINHO DE NAZARÉ,-48.5586602281507,-11.0108050561865,[]
2056,BURITI DO TOCANTINS,-48.223250128075,-5.31353885638917,[]
2059,CACHOEIRINHA,-47.914197778559,-6.11324164650466,[]
2061,CAMPOS LINDOS,-46.8019743467067,-7.97168139413731,[]
2063,CARIRI DO TOCANTINS,-49.1710407289889,-11.8889974638744,[]
2064,CARMOLÂNDIA,-48.3959599306274,-7.03147877786106,[]
2065,CARRASCO BONITO,-48.0306334265692,-5.32266135485805,[]
2069,CASEARA,-49.9486922677787,-9.26740621890348,[]
2071,CENTENÁRIO,-47.3383985145873,-8.9584636390938,[]
2072,CHAPADA DE AREIA,-49.1831078580314,-10.1419885833334,[]
2073,CHAPADA DA NATIVIDADE,-47.7539048918565,-11.6242678313621,[]
2074,COLINAS DO TOCANTINS,-48.4815945437489,-8.05462467549995,[]
2075,COMBINADO,-46.5520723402661,-12.8186076720311,[]
2076,CONCEIÇÃO DO TOCANTINS,-47.292868810807,-12.2172777669654,[]
2077,COUTO MAGALHÃES,-49.176571570853,-8.35511836963524,[]
2080,CRISTALÂNDIA,-49.1863002912612,-10.5907246371177,[]
2081,CRIXÁS DO TOCANTINS,-48.9155138256477,-11.1042742936043,[]
2082,DARCINÓPOLIS,-47.7521611102799,-6.71235100148176,[]
2084,DIANÓPOLIS,-46.8204090669435,-11.625231878065,[]
2085,DIVINÓPOLIS DO TOCANTINS,-49.2054131873503,-9.79530114022946,[]
2087,DOIS IRMÃOS DO TOCANTINS,-49.0673386442723,-9.26129670979711,[]
2088,DUERÉ,-49.2658759161628,-11.3412854167798,[]
2089,ESPERANTINA,-48.5441476004124,-5.36660805940451,[]
2092,FÁTIMA,-48.8989826586808,-10.7525087280848,[]
